Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2020,NJ,New Jersey,Somerset,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,31.8,,,30.6,33.0,345647,34035,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Union,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.6,,,3.2,4.1,572114,34039,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-74.3086957 40.6598707),2532
2021,NJ,New Jersey,Somerset,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,4.9,,,4.2,5.8,345647,34035,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Mercer,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14.1,,,12.1,16.1,385898,34021,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-74.703724 40.2825026),2489
2020,NJ,New Jersey,Passaic,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,33,,,31.9,34.1,518117,34031,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Atlantic,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.5,,,86.3,90.5,274966,34001,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-74.6337591 39.4693555),2446
2020,NJ,New Jersey,Monmouth,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,72.1,,,69.3,74.6,645354,34025,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Monmouth,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.8,3.8,645354,34025,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Warren,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,58.5,,,53.8,63.2,110731,34041,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-75.0094978 40.8534914),2533
2020,NJ,New Jersey,Cape May,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,30.4,,,28.7,32.0,95661,34009,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-74.8463541 39.0858411),2449
2021,NJ,New Jersey,Burlington,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,24.2,,,21.1,27.6,464269,34005,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-74.6630063 39.8757858),2447
2021,NJ,New Jersey,Essex,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.1,,,2.8,3.3,854917,34013,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Cape May,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.6,,,2.3,2.8,95661,34009,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.8463541 39.0858411),2449
2020,NJ,New Jersey,Warren,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,33.6,,,26.1,41.1,110731,34041,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Union,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,12.5,,,10.3,15.1,572114,34039,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-74.3086957 40.6598707),2532
2021,NJ,New Jersey,Sussex,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,31.2,,,27.3,35.5,145543,34037,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-74.6919141 41.1374609),2586
2021,NJ,New Jersey,Monmouth,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,72.8,,,68.8,76.5,645354,34025,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Camden,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,60.2,,,55.6,64.5,523771,34007,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-74.9612493 39.8024071),2448
2020,NJ,New Jersey,Hunterdon,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,29.4,,,27.8,31.2,129924,34019,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-74.9119695 40.5652832),2488
2021,NJ,New Jersey,Middlesex,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,2.5,,,2.3,2.8,860807,34023,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Gloucester,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.3,,,25.9,37.2,304477,34015,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Gloucester,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,59.5,,,54.8,64.2,304477,34015,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Passaic,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,9.4,,,8.3,10.6,518117,34031,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Ocean,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,10.8,,,9.1,12.7,648998,34029,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-74.2588636 39.865669),489
2020,NJ,New Jersey,Camden,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,33.9,,,28.9,39.2,523771,34007,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Gloucester,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,32.3,,,28.3,36.4,304477,34015,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Warren,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.3,,,13.4,19.4,110731,34041,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Middlesex,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.3,,,24.3,32.8,860807,34023,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-74.4074303 40.4396214),2490
2020,NJ,New Jersey,Sussex,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,69.4,,,66.0,72.4,145543,34037,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-74.6919141 41.1374609),2586
2021,NJ,New Jersey,Atlantic,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,29.3,,,25.0,34.1,274966,34001,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Salem,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,30.9,,,27.0,35.0,65046,34033,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-75.3573559 39.5738282),2494
2020,NJ,New Jersey,Cumberland,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,80.1,,,78.2,82.1,153627,34011,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Monmouth,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.8,,,2.4,3.2,645354,34025,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Mercer,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,26.4,,,22.9,30.1,385898,34021,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Burlington,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,21,,,17.3,24.8,464269,34005,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-74.6630063 39.8757858),2447
2021,NJ,New Jersey,Essex,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14.1,,,12.3,15.9,854917,34013,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-74.2462919 40.7874003),2486
2020,NJ,New Jersey,Middlesex,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,82.6,,,80.8,84.2,860807,34023,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Salem,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,12.8,,,10.9,15.0,65046,34033,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-75.3573559 39.5738282),2494
2020,NJ,New Jersey,Burlington,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,68.5,,,65.6,71.3,464269,34005,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-74.6630063 39.8757858),2447
2021,NJ,New Jersey,Camden,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,25.9,,,22.8,29.1,523771,34007,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-74.9612493 39.8024071),2448
2021,NJ,New Jersey,Mercer,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,4.7,,,4.0,5.4,385898,34021,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Monmouth,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.4,,,11.6,15.5,645354,34025,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Hunterdon,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.7,,,4.8,6.6,129924,34019,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-74.9119695 40.5652832),2488
2021,NJ,New Jersey,Bergen,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.2,,,3.6,4.8,953819,34003,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-74.0747272 40.9596985),487
2020,NJ,New Jersey,Essex,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,10.8,,,7.7,14.1,854917,34013,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Sussex,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,2.8,3.8,145543,34037,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-74.6919141 41.1374609),2586
2020,NJ,New Jersey,Hudson,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,9,,,6.6,12.0,702463,34017,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Cumberland,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,18.9,,,15.7,22.4,153627,34011,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-75.1216277 39.3284336),2485
2020,NJ,New Jersey,Camden,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,35.3,,,34.1,36.5,523771,34007,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-74.9612493 39.8024071),2448
2020,NJ,New Jersey,Cape May,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,75.5,,,72.7,78.2,95661,34009,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-74.8463541 39.0858411),2449
2021,NJ,New Jersey,Warren,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,12.8,,,10.8,15.2,110731,34041,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Morris,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,56.6,,,52.2,61.2,510981,34027,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Monmouth,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.3,,,13.8,18.9,645354,34025,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-74.1524456 40.2870481),2491
2020,NJ,New Jersey,Somerset,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,37.2,,,31.7,42.6,345647,34035,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Bergen,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,2.7,,,2.3,3.1,953819,34003,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Salem,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,29.8,,,25.6,34.1,65046,34033,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-75.3573559 39.5738282),2494
2021,NJ,New Jersey,Passaic,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.3,,,4.7,6.0,518117,34031,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Gloucester,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.7,,,3.2,4.2,304477,34015,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-75.1456793 39.7228745),2487
2020,NJ,New Jersey,Salem,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,62.5,,,59.1,65.6,65046,34033,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-75.3573559 39.5738282),2494
2021,NJ,New Jersey,Morris,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,22.7,,,19.9,26.0,510981,34027,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Morris,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,35,,,31.6,38.8,510981,34027,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Mercer,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,86.5,,,84.0,88.7,385898,34021,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Ocean,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,12.1,,,9.9,14.4,648998,34029,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-74.2588636 39.865669),489
2020,NJ,New Jersey,Hudson,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,74.1,,,71.2,76.9,702463,34017,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Warren,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,24.2,,,20.4,28.2,110731,34041,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Cumberland,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,16.4,,,14.3,18.7,153627,34011,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-75.1216277 39.3284336),2485
2021,NJ,New Jersey,Hudson,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,16.8,,,14.5,19.4,702463,34017,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Bergen,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8,,,6.8,9.2,953819,34003,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Mercer,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,14.3,,,11.9,16.8,385898,34021,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-74.703724 40.2825026),2489
2020,NJ,New Jersey,Union,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,84.8,,,83.1,86.4,572114,34039,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-74.3086957 40.6598707),2532
2021,NJ,New Jersey,Bergen,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.1,,,6.4,7.8,953819,34003,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Union,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,14.1,,,11.5,17.4,572114,34039,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-74.3086957 40.6598707),2532
2021,NJ,New Jersey,Hunterdon,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,24.3,,,20.5,28.3,129924,34019,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-74.9119695 40.5652832),2488
2020,NJ,New Jersey,Passaic,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,11.4,,,8.3,15.1,518117,34031,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Warren,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,3.7,,,3.2,4.3,110731,34041,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Bergen,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.1,,,7.2,9.2,953819,34003,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-74.0747272 40.9596985),487
2020,NJ,New Jersey,Hunterdon,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,73.9,,,70.1,77.2,129924,34019,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-74.9119695 40.5652832),2488
2020,NJ,New Jersey,Middlesex,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,66.8,,,64.3,69.3,860807,34023,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Morris,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8.2,,,7.0,9.7,510981,34027,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-74.5472917 40.8588961),2492
2021,NJ,New Jersey,Atlantic,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,27.5,,,23.8,31.6,274966,34001,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Salem,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,28.1,,,23.4,33.2,65046,34033,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-75.3573559 39.5738282),2494
2021,NJ,New Jersey,Somerset,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,4.9,,,4.2,5.6,345647,34035,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-74.6199378 40.5655273),490
2021,NJ,New Jersey,Atlantic,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,11.2,,,9.7,12.9,274966,34001,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Hudson,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,26.5,,,22.7,30.5,702463,34017,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-74.0786014 40.7313751),488
2021,NJ,New Jersey,Atlantic,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,39,,,35.1,43.2,274966,34001,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-74.6337591 39.4693555),2446
2021,NJ,New Jersey,Middlesex,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,36.9,,,33.7,40.4,860807,34023,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Cumberland,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.8,,,31.7,46.0,153627,34011,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-75.1216277 39.3284336),2485
2020,NJ,New Jersey,Gloucester,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,85.6,,,83.6,87.5,304477,34015,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-75.1456793 39.7228745),2487
2021,NJ,New Jersey,Cape May,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,23.5,,,20.2,27.1,95661,34009,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-74.8463541 39.0858411),2449
2021,NJ,New Jersey,Warren,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10.7,,,8.9,12.7,110731,34041,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-75.0094978 40.8534914),2533
2021,NJ,New Jersey,Passaic,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.2,,,3.7,4.9,518117,34031,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-74.2994078 41.0366554),2493
2021,NJ,New Jersey,Monmouth,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,4.5,,,3.6,5.5,645354,34025,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-74.1524456 40.2870481),2491
2021,NJ,New Jersey,Middlesex,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,74.1,,,70.6,77.5,860807,34023,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-74.4074303 40.4396214),2490
2021,NJ,New Jersey,Ocean,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,14.5,,,12.1,17.2,648998,34029,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Mercer,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.6,,,19.5,28.0,385898,34021,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-74.703724 40.2825026),2489
2021,NJ,New Jersey,Essex,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,12.3,,,10.7,13.8,854917,34013,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-74.2462919 40.7874003),2486
2021,NJ,New Jersey,Sussex,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,13.8,,,11.7,16.0,145543,34037,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-74.6919141 41.1374609),2586
2020,NJ,New Jersey,Bergen,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,40.3,,,35.2,45.5,953819,34003,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Bergen,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.1,5.8,953819,34003,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-74.0747272 40.9596985),487
2021,NJ,New Jersey,Hunterdon,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,10.2,,,8.2,12.7,129924,34019,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-74.9119695 40.5652832),2488
2021,NJ,New Jersey,Ocean,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,33.8,,,30.3,37.6,648998,34029,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-74.2588636 39.865669),489
2021,NJ,New Jersey,Bergen,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,10.5,,,8.3,12.9,953819,34003,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-74.0747272 40.9596985),487
